signature_type,signature,occurrence_count,document_count,object_count,sections,objects,documents
page_layout,1d36ae478e03ccc99fd530c51f16d1bb54777ba1,44,6,2,ИД|ИОС5.4.1|ПОКР,1724_25|1725_25,1724_25:doc_34536dc1|1724_25:doc_801fee11|1724_25:doc_c8e972bf|1725_25:doc_10be5f2b|1725_25:doc_32fcaa56|1725_25:doc_df6a5246
page_layout,3db5371a22aad835d331a82f7b1eaee5ee16cf9d,4,4,2,ИД|СМ,1724_25|1725_25,1724_25:doc_801fee11|1724_25:doc_b44ce08b|1725_25:doc_c985f0bc|1725_25:doc_df6a5246
page_layout,017eb10a3f9561e31c66dafe42586c8230200a80,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
page_layout,01c64fcf46a18779e9fe1338f98d178a7aa5e4b2,2,2,1,ИД|ИОС5.4.1,1724_25,1724_25:doc_801fee11|1724_25:doc_c8e972bf
page_layout,0666e4554802172aedfe8b7d814ce293ec53ec2c,2,2,2,ИОС5.1,1724_25|1725_25,1724_25:doc_5efb363f|1725_25:doc_726dfa3d
page_layout,0b1003c1d8f11a16e4bc396e97c57993dfbf6b23,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
page_layout,10e702ed9c719c6f97dce74631517c8144e809f5,2,2,2,ИОС5.1,1724_25|1725_25,1724_25:doc_5efb363f|1725_25:doc_726dfa3d
page_layout,11f5face6384518dcc945d6dcd3d499384c4dd72,2,2,2,ПОКР,1724_25|1725_25,1724_25:doc_34536dc1|1725_25:doc_32fcaa56
page_layout,123f8c01e2cc26b7b7baaacb4c9cd94e8f00b946,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
page_layout,136d11703cbc0d891837926f19f535ea75e2cfe0,2,2,2,КР,1724_25|1725_25,1724_25:doc_a624e984|1725_25:doc_93cc45b2
page_layout,15bb535a0c445adca7c2acdfedf8f8adf5e3b361,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
page_layout,1d6909dc81d3ad71ef4b066f9cf854f698eb3aaa,2,2,2,АР,1724_25|1725_25,1724_25:doc_984f5a08|1725_25:doc_96e96f2d
page_layout,1f661a1526a19ea29c8734d76291f0dbd94b73a1,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
page_layout,22f52e8ba656134735f2a5cbf8094db660e10be9,2,2,2,АР,1724_25|1725_25,1724_25:doc_984f5a08|1725_25:doc_96e96f2d
page_layout,25cea667b537b8d675fdbefaf463d3c225843283,2,2,2,ИОС5.5.1,1724_25|1725_25,1724_25:doc_48ee9de4|1725_25:doc_3555e5a4
page_layout,2afd3a067283580f098845e86e204724c50053b1,2,2,2,ПОКР,1724_25|1725_25,1724_25:doc_34536dc1|1725_25:doc_32fcaa56
page_layout,2c8181b21b14a6278ab06316cc0c0d9535e239ff,2,2,1,ИД|ИОС5.4.1,1725_25,1725_25:doc_10be5f2b|1725_25:doc_df6a5246
page_layout,2d02ba7d2962327e0a34710781020ce55b2eb755,2,2,2,КР,1724_25|1725_25,1724_25:doc_a624e984|1725_25:doc_93cc45b2
page_layout,2d29b0dfc5c95819c3a500631164e69626819e35,2,2,2,КР,1724_25|1725_25,1724_25:doc_a624e984|1725_25:doc_93cc45b2
page_layout,2e279aace9f223512f885f68e6eb6c0b9cd82444,2,2,2,КР,1724_25|1725_25,1724_25:doc_a624e984|1725_25:doc_93cc45b2
