object_id,bundle_id,section_code,section_role,crc32,file_name,page_count,element_count,visible_element_count,text_segment_count,table_count,table_cell_count,image_count,layer_count,total_text_chars,total_text_words,broken_encoding_count,elements_per_page,text_segments_per_page,tables_per_page,table_cells_per_page,images_per_page,table_cells_per_table,text_segment_ratio,image_ratio,table_ratio,max_elements_on_page,max_text_segments_on_page,group_text_count,group_text_ratio,group_lines_count,group_lines_ratio,group_frames_count,group_frames_ratio,group_images_count,group_images_ratio,group_tables_count,group_tables_ratio,group_other_vector_count,group_other_vector_ratio
1724_25,doc_984f5a08,АР,project_section,984F5A08,"Раздел ПД N 3  АР_ул. Симферопольская, д. 11.pdf",9,6416,6416,222,5,124,12,22,7398,876,0,712.8889,24.6667,0.5556,13.7778,1.3333,24.8,0.0346,0.0019,0.0008,6010,65,222,0.0346,2910,0.4536,17,0.0026,14,0.0022,5,0.0008,3248,0.5062
1724_25,doc_a624e984,КР,project_section,A624E984,"Раздел ПД N 4  КР_ул. Симферопольская, д. 11.pdf",10,6862,6862,274,6,134,13,27,10708,1273,0,686.2,27.4,0.6,13.4,1.3,22.3333,0.0399,0.0019,0.0009,6401,65,274,0.0399,3272,0.4768,20,0.0029,15,0.0022,6,0.0009,3275,0.4773
1724_25,doc_34536dc1,ПОКР,project_section,34536DC1,"Раздел ПД N 7 ПОКР_ул. Симферопольская, д. 11.pdf",24,3480,3480,1106,8,335,28,37,25525,3286,0,145.0,46.0833,0.3333,13.9583,1.1667,41.875,0.3178,0.008,0.0023,2288,154,1106,0.3178,1113,0.3198,21,0.006,31,0.0089,8,0.0023,1201,0.3451
1724_25,doc_801fee11,ИД,non_pp87_but_useful,801FEE11,"Раздел ПД N 13 ИД_ул. Симферопольская, д. 11.pdf",45,2606,2606,2516,29,1602,28,3,53118,7096,0,57.9111,55.9111,0.6444,35.6,0.6222,55.2414,0.9655,0.0107,0.0111,100,99,2516,0.9655,21,0.0081,11,0.0042,29,0.0111,29,0.0111,0,0.0
1724_25,doc_5efb363f,ИОС5.1,engineering_core,5EFB363F,"Раздел ПД№5 ИОС5.1 ул.Симферопольская,д.11 ГВС.pdf",20,15252,15252,1417,22,966,26,26,28269,3779,0,762.6,70.85,1.1,48.3,1.3,43.9091,0.0929,0.0017,0.0014,3703,187,1417,0.0929,7815,0.5124,150,0.0098,28,0.0018,22,0.0014,5820,0.3816
1724_25,doc_c8e972bf,ИОС5.4.1,engineering_core,C8E972BF,"Раздел ПД N 5  ИОС5.4.1_Симферопольская, д. 11 гвс.pdf",29,11399,11399,1186,22,1047,25,108,30941,3929,0,393.069,40.8966,0.7586,36.1034,0.8621,47.5909,0.104,0.0022,0.0019,8468,170,1186,0.104,5856,0.5137,12,0.0011,30,0.0026,22,0.0019,4293,0.3766
1724_25,doc_48ee9de4,ИОС5.5.1,engineering_core,48EE9DE4,"Раздел ПД№5 ИОС5.5.1 ул.Симферопольская,д.11 ГВС.pdf",20,22665,22665,1359,26,1074,22,26,18458,2761,0,1133.25,67.95,1.3,53.7,1.1,41.3077,0.06,0.001,0.0011,6557,188,1359,0.06,12737,0.562,69,0.003,23,0.001,26,0.0011,8451,0.3729
1724_25,doc_b44ce08b,СМ,contrast_control,B44CE08B,Раздел ПД №12 СМ Симферопольская д.11 ГВС.pdf,42,13770,13770,13438,12,504,18,3,175301,26490,0,327.8571,319.9524,0.2857,12.0,0.4286,42.0,0.9759,0.0013,0.0009,485,480,13438,0.9759,284,0.0206,10,0.0007,18,0.0013,12,0.0009,8,0.0006
1725_25,doc_96e96f2d,АР,project_section,96E96F2D,"Раздел ПД N 3  АР_ул. Симферопольская, д. 11.pdf",8,6264,6264,219,5,124,11,22,7328,868,0,783.0,27.375,0.625,15.5,1.375,24.8,0.035,0.0018,0.0008,6005,65,219,0.035,2862,0.4569,17,0.0027,13,0.0021,5,0.0008,3148,0.5026
1725_25,doc_93cc45b2,КР,project_section,93CC45B2,"Раздел ПД N 4  КР_ул. Симферопольская, д. 11.pdf",9,6636,6636,271,6,129,12,27,10652,1266,0,737.3333,30.1111,0.6667,14.3333,1.3333,21.5,0.0408,0.0018,0.0009,6322,65,271,0.0408,3150,0.4747,20,0.003,14,0.0021,6,0.0009,3175,0.4785
1725_25,doc_32fcaa56,ПОКР,project_section,32FCAA56,"Раздел ПД N 7 ПОКР_ул. Симферопольская, д. 11.pdf",25,3471,3471,1180,8,335,28,27,27117,3466,0,138.84,47.2,0.32,13.4,1.12,41.875,0.34,0.0081,0.0023,2204,154,1180,0.34,1067,0.3074,22,0.0063,31,0.0089,8,0.0023,1163,0.3351
1725_25,doc_df6a5246,ИД,non_pp87_but_useful,DF6A5246,"Раздел ПД N 13 ИД_ул. Симферопольская, д. 11.pdf",45,2615,2615,2527,29,1602,28,3,53126,7094,0,58.1111,56.1556,0.6444,35.6,0.6222,55.2414,0.9663,0.0107,0.0111,100,99,2527,0.9663,21,0.008,9,0.0034,29,0.0111,29,0.0111,0,0.0
1725_25,doc_726dfa3d,ИОС5.1,engineering_core,726DFA3D,"Раздел ПД№5 ИОС5.1 ул.Симферопольская,д.11 ОТ.pdf",22,15622,15622,1435,22,1049,30,26,29699,3949,0,710.0909,65.2273,1.0,47.6818,1.3636,47.6818,0.0919,0.0019,0.0014,3662,188,1435,0.0919,7019,0.4493,149,0.0095,32,0.002,22,0.0014,6965,0.4458
1725_25,doc_10be5f2b,ИОС5.4.1,engineering_core,10BE5F2B,"Раздел ПД N 5  ИОС5.4.1_Симферопольская, д. 11 отоп.pdf",29,12874,12874,1342,17,913,23,89,32968,4292,0,443.931,46.2759,0.5862,31.4828,0.7931,53.7059,0.1042,0.0018,0.0013,8455,175,1342,0.1042,7633,0.5929,29,0.0023,23,0.0018,17,0.0013,3830,0.2975
1725_25,doc_3555e5a4,ИОС5.5.1,engineering_core,3555E5A4,"Раздел ПД№5 ИОС5.5.1 ул.Симферопольская,д.11 ОТ.pdf",18,21340,21340,1292,24,973,18,26,17665,2656,0,1185.5556,71.7778,1.3333,54.0556,1.0,40.5417,0.0605,0.0008,0.0011,6547,187,1292,0.0605,12116,0.5678,65,0.003,19,0.0009,24,0.0011,7824,0.3666
1725_25,doc_c985f0bc,СМ,contrast_control,C985F0BC,Раздел ПД №12 СМ Симферопольская д.11 ТЭ.pdf,29,7666,7666,7446,12,504,21,3,102341,15361,0,264.3448,256.7586,0.4138,17.3793,0.7241,42.0,0.9713,0.0027,0.0016,449,442,7446,0.9713,169,0.022,10,0.0013,21,0.0027,12,0.0016,8,0.001
