object_id,bundle_id,section_code,crc32,page_id,page_number,page_size_key,element_count,text_count,line_count,frame_count,image_count,table_count,page_signature,page_signature_source
1724_25,doc_984f5a08,АР,984F5A08,doc_984f5a08_p_1,1,595.4x842.0r0,25,20,0,3,1,1,d340ac0bf8fdcdb03b19ba28f29f8124094f0cd6,size:595.4x842.0r0|elements:25|text:20|lines:0|frames:3|images:1|tables:1|groups:frames:3:6333.3:0.0:0:0;images:1:5489.0:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:9296.8:0.0:1:2;text:20:124350.8:0.0:0:0
1724_25,doc_984f5a08,АР,984F5A08,doc_984f5a08_p_2,2,595.4x842.0r0,27,21,0,3,2,1,1c7fbccbe3fd1eb5f2d98991577deec07c680dc7,size:595.4x842.0r0|elements:27|text:21|lines:0|frames:3|images:2|tables:1|groups:frames:3:6333.3:0.0:0:0;images:2:7510.4:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:9296.8:0.0:1:2;text:21:128833.5:0.0:0:0
1724_25,doc_984f5a08,АР,984F5A08,doc_984f5a08_p_3,3,595.3x841.9r0,49,29,15,1,3,1,ea7d3ef3347fc389ed9c8e15aec8ff4133823075,size:595.3x841.9r0|elements:49|text:29|lines:15|frames:1|images:3|tables:1|groups:frames:1:417112.6:0.0:0:0;images:3:61626.3:0.0:0:0;lines:15:581.1:12.9:0:0;other_vector:0:0.0:0.0:0:0;tables:1:66583.1:0.0:1:21;text:29:25854.5:0.0:0:0
1724_25,doc_984f5a08,АР,984F5A08,doc_984f5a08_p_4,4,595.3x841.9r0,69,65,0,1,2,1,97483ede1404985afb1243174d5ea78870acced5,size:595.3x841.9r0|elements:69|text:65|lines:0|frames:1|images:2|tables:1|groups:frames:1:416261.6:0.0:0:0;images:2:25161.9:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:196500.3:0.0:1:44;text:65:137081.8:0.0:0:0
1724_25,doc_984f5a08,АР,984F5A08,doc_984f5a08_p_5,5,595.2x842.0r0,35,32,1,1,1,0,f23709e1a2565306cc7c000afb168524859be12e,size:595.2x842.0r0|elements:35|text:32|lines:1|frames:1|images:1|tables:0|groups:frames:1:416293.7:0.0:0:0;images:1:22311.7:0.0:0:0;lines:1:0.0:78.6:0:0;other_vector:0:0.0:0.0:0:0;tables:0:0.0:0.0:0:0;text:32:114238.9:0.0:0:0
1724_25,doc_984f5a08,АР,984F5A08,doc_984f5a08_p_6,6,595.2x842.0r0,41,39,0,1,1,0,22f52e8ba656134735f2a5cbf8094db660e10be9,size:595.2x842.0r0|elements:41|text:39|lines:0|frames:1|images:1|tables:0|groups:frames:1:416293.7:0.0:0:0;images:1:22311.7:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:0:0.0:0.0:0:0;text:39:171658.6:0.0:0:0
1724_25,doc_984f5a08,АР,984F5A08,doc_984f5a08_p_7,7,595.2x842.0r0,14,12,0,1,1,0,1d6909dc81d3ad71ef4b066f9cf854f698eb3aaa,size:595.2x842.0r0|elements:14|text:12|lines:0|frames:1|images:1|tables:0|groups:frames:1:416293.7:0.0:0:0;images:1:22311.7:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:0:0.0:0.0:0:0;text:12:37845.6:0.0:0:0
1724_25,doc_984f5a08,АР,984F5A08,doc_984f5a08_p_8,8,1191.0x842.0r270,6010,2,2814,5,2,1,5adf589241a2e7932ef16afac3dae4d2d6ce455a,size:1191.0x842.0r270|elements:6010|text:2|lines:2814|frames:5|images:2|tables:1|groups:frames:5:29313.8:0.0:0:0;images:2:1304.9:0.0:0:0;lines:2814:568832.5:25298.5:0:0;other_vector:3186:5338.0:0.0:0:0;tables:1:81622.9:0.0:1:55;text:2:875.6:0.0:0:0
1724_25,doc_984f5a08,АР,984F5A08,doc_984f5a08_p_9,9,1191.0x842.0r270,146,2,80,1,1,0,5f252ed661be6a2b0fae650cc150a9becf73024a,size:1191.0x842.0r270|elements:146|text:2|lines:80|frames:1|images:1|tables:0|groups:frames:1:904995.1:0.0:0:0;images:1:565501.8:0.0:0:0;lines:80:548.2:221.3:0:0;other_vector:62:129.2:0.0:0:0;tables:0:0.0:0.0:0:0;text:2:5044.7:0.0:0:0
1724_25,doc_a624e984,КР,A624E984,doc_a624e984_p_1,1,595.4x842.0r0,28,23,0,3,1,1,4d6cf22d7a118d1900fcc3e3aded4a19ea170272,size:595.4x842.0r0|elements:28|text:23|lines:0|frames:3|images:1|tables:1|groups:frames:3:6333.3:0.0:0:0;images:1:5489.0:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:9296.8:0.0:1:2;text:23:118027.3:0.0:0:0
1724_25,doc_a624e984,КР,A624E984,doc_a624e984_p_2,2,595.4x842.0r0,30,24,0,3,2,1,2e279aace9f223512f885f68e6eb6c0b9cd82444,size:595.4x842.0r0|elements:30|text:24|lines:0|frames:3|images:2|tables:1|groups:frames:3:6333.3:0.0:0:0;images:2:7510.4:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:9296.8:0.0:1:2;text:24:118704.1:0.0:0:0
1724_25,doc_a624e984,КР,A624E984,doc_a624e984_p_3,3,595.3x841.9r0,50,30,15,1,3,1,62bed261e514dc49f27e081781bfefe4e60f7a68,size:595.3x841.9r0|elements:50|text:30|lines:15|frames:1|images:3|tables:1|groups:frames:1:417112.6:0.0:0:0;images:3:61626.3:0.0:0:0;lines:15:581.1:12.9:0:0;other_vector:0:0.0:0.0:0:0;tables:1:75382.4:0.0:1:24;text:30:29878.1:0.0:0:0
1724_25,doc_a624e984,КР,A624E984,doc_a624e984_p_4,4,595.3x841.9r0,69,65,0,1,2,1,2d02ba7d2962327e0a34710781020ce55b2eb755,size:595.3x841.9r0|elements:69|text:65|lines:0|frames:1|images:2|tables:1|groups:frames:1:416261.6:0.0:0:0;images:2:25161.9:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:196500.3:0.0:1:44;text:65:137060.9:0.0:0:0
