object_id,bundle_id,section_code,crc32,table_id,page_number,row_count,column_count,cell_count,text_element_count,line_element_count,frame_element_count,bbox_area,layout_signature,layout_signature_source,content_sha1
1724_25,doc_984f5a08,АР,984F5A08,tbl_1_1,1,2,3,2,2,7,0,9296.78,2b31a4437e93cdfa205f1fd99df15ece0d21de8d,rows:2|cols:3|cells:2|text:2|lines:7|frames:0|size:336.8x27.6,2b6346809c816faa519fa0b65122f5420979d0bd
1724_25,doc_984f5a08,АР,984F5A08,tbl_2_1,2,2,3,2,2,7,0,9296.78,2b31a4437e93cdfa205f1fd99df15ece0d21de8d,rows:2|cols:3|cells:2|text:2|lines:7|frames:0|size:336.8x27.6,2b6346809c816faa519fa0b65122f5420979d0bd
1724_25,doc_984f5a08,АР,984F5A08,tbl_3_1,3,7,3,21,11,12,1,66583.05,5cec60322071b6aedc7276621b270c4bcddb57a3,rows:7|cols:3|cells:21|text:11|lines:12|frames:1|size:494.6x134.6,7e333200c9530edf71b361e7b024b4b1306332a6
1724_25,doc_984f5a08,АР,984F5A08,tbl_4_1,4,11,6,44,40,21,1,196500.32,44462779ede31506fdf1b4d0626e387e4cda8745,rows:11|cols:6|cells:44|text:40|lines:21|frames:1|size:497.2x395.2,5adf10756609caf15c11c208e512238c5505102b
1724_25,doc_984f5a08,АР,984F5A08,tbl_8_1,8,69,11,55,2,88,1,81622.86,0fe3764b9c9c944ad4870ca155558a1efcb35223,rows:69|cols:11|cells:55|text:2|lines:88|frames:1|size:155.7x524.4,f74760a5c818b665bb18c0cc75299abbcd9880ed
1724_25,doc_a624e984,КР,A624E984,tbl_1_1,1,2,3,2,2,7,0,9296.78,2b31a4437e93cdfa205f1fd99df15ece0d21de8d,rows:2|cols:3|cells:2|text:2|lines:7|frames:0|size:336.8x27.6,2b6346809c816faa519fa0b65122f5420979d0bd
1724_25,doc_a624e984,КР,A624E984,tbl_2_1,2,2,3,2,2,7,0,9296.78,2b31a4437e93cdfa205f1fd99df15ece0d21de8d,rows:2|cols:3|cells:2|text:2|lines:7|frames:0|size:336.8x27.6,2b6346809c816faa519fa0b65122f5420979d0bd
1724_25,doc_a624e984,КР,A624E984,tbl_3_1,3,8,3,24,11,13,1,75382.36,a8dc5168fa86f5b10c95b1ac591dd834de0393da,rows:8|cols:3|cells:24|text:11|lines:13|frames:1|size:494.6x152.4,53df78d309fb73c047c95e53b570b27391f90e28
1724_25,doc_a624e984,КР,A624E984,tbl_4_1,4,11,6,44,40,21,1,196500.32,44462779ede31506fdf1b4d0626e387e4cda8745,rows:11|cols:6|cells:44|text:40|lines:21|frames:1|size:497.2x395.2,5adf10756609caf15c11c208e512238c5505102b
1724_25,doc_a624e984,КР,A624E984,tbl_5_1,5,7,2,12,15,13,1,46908.86,111c60d9fa3b0b7d0636ee3f9c8f07d350ed2c73,rows:7|cols:2|cells:12|text:15|lines:13|frames:1|size:441.1x106.3,521dc81fb4c10bc27141e74c44053d70c06acce9
